name,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,access,public_access_hours_open,public_access_hours_close,public_access_days,data_as_of
Drinking Fountain/Cooler,drinking_water,1,1,0,0,37.74195621,-122.46517039,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Herz Playground Clubhouse,restroom,0,0,0,0,37.71394326427549,-122.41637790217736,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Moscone Rec Center,restroom,0,0,0,0,37.801484546132755,-122.43318577042552,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 05:16:30 PM
Mendell Plaza,drinking_water,0,1,1,0,37.734648,-122.390524,publicly_accessible,,,Daily,2024/06/27 01:43:12 PM
Golden Gate Park - Section 6 - Drinking Fountain/Cooler,drinking_water,1,1,0,0,37.766804140000005,-122.50818661,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Alta Plaza Park - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.79123999,-122.43819734,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Hilltop Park,drinking_water,0,1,1,0,37.73328,-122.38366,publicly_accessible,,,Daily,2024/06/27 01:43:12 PM
Golden Gate Park - Section 5 - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.77055697,-122.48014119,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Garfield Path Drinking Fountain,drinking_water,1,1,0,0,37.75012374000001,-122.41247426,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Main Library,drinking_water,1,0,0,0,37.779081776000055,-122.41615205,limited_access,,,Daily,2024/10/10 10:24:00 AM
Outer Sunset Pit Stop - Judah and La Playa streets (Rec Park),restroom,0,0,0,0,37.7603081,-122.5091618,publicly_accessible,,,,2024/10/10 10:39:51 AM
Duboce Park - Drinking Fountain/Cooler,drinking_water,1,1,0,0,37.769413269999994,-122.43349092,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Golden Gate Park - Section 4 - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.77201682,-122.47114772,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Golden Gate Park - Section 1 - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.76699113,-122.45332948,limited_access,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Portsmouth Square - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.79508448,-122.40538466,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Restrooms,restroom,0,0,0,0,37.751489051685674,-122.43921687699716,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Marina Green East Restroom,restroom,0,0,0,0,37.80648339185096,-122.43453399335982,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Corona Heights Park - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.76530769,-122.44027742,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Drinking fountain,drinking_water,1,1,0,0,37.770929679999995,-122.47696559,publicly_accessible,08:00:00,20:00:00,Daily,2024/09/11 02:38:36 PM
South Beach Harbor,drinking_water,1,1,0,1,37.7803467,-122.3877,publicly_accessible,,,Daily,2024/10/04 01:51:23 PM
Midtown Terrace Clubhouse,restroom,0,0,0,0,37.75167265818647,-122.45588190223847,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Midtown Terrace Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.75167229,-122.45583378,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Victoria Manalo Draves Park - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.77712696,-122.40618904,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Visitacion Valley Clubhouse,restroom,0,0,0,0,37.71274482391884,-122.40868229341584,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Kezar Turf Drinking fountain,drinking_water,1,1,0,0,37.767234820000006,-122.45515061,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
West Sunset Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.7508196,-122.49832208,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
McCoppin Square Clubhouse,restroom,0,0,0,0,37.743551594363424,-122.480708410321,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Mission Bay Library,drinking_water,1,0,0,0,37.77536972800005,-122.393097384,limited_access,,,Daily,2024/10/10 10:24:00 AM
Mission Rec Center,restroom,0,0,0,0,37.75822049006592,-122.4127976783385,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 05:16:30 PM
Hayes Valley Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.77606955,-122.42741294,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Jackson Clubhouse,restroom,0,0,0,0,37.76388493563468,-122.39892775694432,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Parque Ninos Unidos Clubhouse,restroom,0,0,0,0,37.754352377295625,-122.41391608902444,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Civic Center Pit Stop - Grove and Larkin streets (JCDecaux),restroom,0,0,0,0,37.7787317,-122.4169278,publicly_accessible,,,,2024/10/10 10:39:51 AM
Gleneagles Golf Course Clubhouse,restroom,0,0,0,0,37.71599531472845,-122.42456403444784,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
SoMa Pit Stop - Victoria Manalo Draves Park (Rec Park),restroom,0,0,0,0,37.7767602,-122.4060242,limited_access,,,,2024/10/10 10:39:51 AM
